Time:ulong,Power:float,Reference:float,Energy:float,EnergyRef:float,EnergyAllowance:float,PowerV:float,Power_lo:float,Power_hi:float,Current_lo:float,Current_hi:float,Current:uinteger,Voltage:uinteger,DSR:ulong
"0","2.0758887","","60.7","","","","","","","","632700","3281",""
"5781000","2.0657655","","72.5","","","","","","","","632700","3265",""
"11562000","2.068929","","84.8","","","","","","","","632700","3270",""
"17342000","2.0651328","","96.6","","","","","","","","632700","3264",""
"23124000","2.0670309","","108.4","","","","","","","","632700","3267",""
"29104000","2.055195","","121.1","","","","","","","","628500","3270",""
"34885000","2.0533095","","132.9","","","","","","","","628500","3267",""
"40667000","2.053938","","145.1","","","","","","","","628500","3268",""
"46454000","2.0545665","","157.0","","","","","","","","628500","3269",""
"52235000","2.055195","","169.2","","","2.0614950899999998","","","","","628500","3270",""
"58214000","2.0532844","","181.4","","","2.0592346599999996","","","","","628300","3268",""
"63996000","2.0539127","","193.7","","","2.0580493799999995","","","","","628300","3269",""
"69777000","2.0539127","","205.5","","","2.0565477499999996","","","","","628300","3269",""
"75564000","2.054541","","217.7","","","2.0554885699999996","","","","","628300","3270",""
"81345000","2.0539127","","230.0","","","2.05417675","","","","","628300","3269",""
"87323000","2.068275","","242.2","","","2.0554847499999997","","","","","632500","3270",""
"93105000","2.068275","","254.4","","","2.0569812999999995","","","","","632500","3270",""
"98887000","2.0676425","","266.3","","","2.0583517499999995","","","","","632500","3269",""
"104668000","2.068275","","278.5","","","2.0597225999999997","","","","","632500","3270",""
"110450000","2.068275","","290.3","","","2.0610305999999996","","","","","632500","3270",""
"116434000","2.068275","","303.0","","","2.0625296599999996","","","","","632500","3270",""
"122214000","2.068275","","315.2","","","2.0639658899999995","","","","","632500","3270",""
"127996000","2.068275","","327.0","","","2.065402119999999","","","","","632500","3270",""
"133777000","2.0689075","","339.3","","","2.066838769999999","","","","","632500","3271",""
"139558000","2.068275","","351.1","","","2.068274999999999","","","","","632500","3270",""
"145536000","2.068929","","363.7","","","2.068340399999999","","","","","632700","3270",""
"151319000","2.068929","","375.5","","","2.068405799999999","","","","","632700","3270",""
"157100000","2.0695617","","387.8","","","2.0685977199999988","","","","","632700","3271",""
"162882000","2.068929","","399.6","","","2.068663119999999","","","","","632700","3270",""
"168663000","2.068929","","411.8","","","2.068728519999999","","","","","632700","3270",""
"174642000","2.0692346","","424.5","","","2.068824479999999","","","","","632600","3271",""
"180423000","2.068602","","436.3","","","2.0688571799999993","","","","","632600","3270",""
"186211000","2.068602","","448.5","","","2.068889879999999","","","","","632600","3270",""
"191993000","2.0692346","","460.4","","","2.068922589999999","","","","","632600","3271",""
