Time:ulong,Current:uinteger,Voltage:uinteger
"240857000","1288000","3275"
"241936000","1288000","3275"
"243015000","1288000","3275"
"244348000","1288000","3275"
"245427000","1422300","3276"
"246506000","1422300","3276"
"247584000","1422300","3276"
"248668000","1422300","3276"
"250003000","1422300","3276"
"251081000","1422300","3276"
"252160000","1422300","3276"
"253239000","1422300","3276"
"254317000","1422300","3276"
"255650000","1585600","3276"
"256729000","1585600","3276"
"257808000","1585600","3276"
"258896000","1585600","3276"
"259975000","1585600","3276"
"261310000","1585600","3276"
"262388000","1585600","3276"
"263467000","1585600","3276"
"264545000","1585600","3276"
"265623000","1614100","3276"
"266957000","1614100","3276"
"268041000","1614100","3276"
"269119000","1614100","3276"
"270199000","1614100","3276"
"271278000","1614100","3276"
"272611000","1614100","3276"
"273691000","1614100","3276"
"274770000","1614100","3276"
"275848000","1619400","3276"
"276927000","1619400","3276"
"278266000","1619400","3276"
"279345000","1619400","3276"
"280423000","1619400","3276"
"281501000","1619400","3276"
"282580000","1619400","3276"
"283914000","1619400","3276"
"284993000","1619400","3276"
"286072000","1528700","3276"
"287150000","1528700","3276"
"288235000","1528700","3276"
"289568000","1528700","3276"
"290647000","1528700","3276"
"291726000","1528700","3276"
"292804000","1528700","3276"
"293882000","1528700","3276"
"295216000","1528700","3276"
"296295000","1528700","3276"
"297374000","1371100","3276"
"298458000","1371100","3276"
"299536000","1371100","3276"
"300875000","1371100","3276"
"301953000","1371100","3276"
"303031000","1371100","3276"
"304109000","1371100","3276"
"305187000","1371100","3275"
"306464000","1371100","3275"
"307600000","1551200","3275"
"308684000","1551200","3275"
"309762000","1551200","3275"
"310841000","1551200","3275"
"312175000","1551200","3275"
"313253000","1551200","3275"
"314331000","1551200","3275"
"315410000","1551200","3275"
"316488000","1734500","3275"
"317822000","1734500","3275"
"318905000","1734500","3275"
"319984000","1734500","3275"
"321062000","1734500","3275"
"322141000","1734500","3275"
"323475000","1734500","3276"
"324553000","1734500","3276"
"325632000","1734500","3275"
"326710000","1608400","3275"
"327788000","1608400","3275"
"329128000","1608400","3275"
"330206000","1608400","3275"
"331285000","1608400","3275"
"332363000","1608400","3275"
"333441000","1608400","3275"
"334773000","1608400","3275"
"335852000","1608400","3275"
"336930000","1608400","3275"
"338014000","1608400","3275"
"339093000","1212700","3275"
"340427000","1212700","3275"
"341505000","1212700","3275"
"342584000","1212700","3275"
"343667000","1212700","3275"
"344745000","1212700","3275"
"346078000","1212700","3275"
"347157000","1212700","3275"
"348240000","1212700","3275"
"349318000","1212700","3275"
"350396000","1212700","3275"
"351731000","1212700","3275"
"352809000","1212700","3275"
"353888000","1036000","3275"
"354966000","1036000","3275"
"356045000","1036000","3275"
"357378000","1036000","3275"
"358463000","1036000","3275"
"359541000","1036000","3275"
"360620000","1036000","3275"
"361699000","1036000","3275"
"363033000","1036000","3275"
"364111000","1608200","3275"
"365189000","1608200","3275"
"366268000","1608200","3275"
"367347000","1608200","3275"
"368686000","1608200","3275"
"369764000","1608200","3275"
"370843000","1608200","3275"
"371921000","1608200","3275"
"373000000","1851900","3275"
"374334000","1851900","3275"
"375412000","1851900","3275"
"376491000","1851900","3275"
"377569000","1851900","3275"
"378654000","1851900","3275"
"379987000","1851900","3275"
"381065000","1851900","3275"
"382144000","1837900","3275"
"383223000","1837900","3275"
"384300000","1837900","3275"
"385639000","1837900","3275"
"386717000","1837900","3275"
"387796000","1837900","3275"
"388880000","1837900","3275"
"389958000","1837900","3275"
"391235000","1837900","3275"
"392371000","1837900","3275"
"393449000","1837900","3275"
"394528000","1306200","3275"
"395607000","1306200","3275"
"396941000","1306200","3275"
"398025000","1306200","3275"
"399104000","1306200","3275"
"400182000","1306200","3275"
"401261000","1306200","3275"
"402595000","1306200","3275"
"403673000","1306200","3275"
"404752000","1306200","3275"
"405831000","1306200","3275"
"406910000","1287800","3275"
"408249000","1287800","3275"
"409326000","1287800","3275"
"410405000","1287800","3275"
"411483000","1287800","3275"
"412562000","1287800","3275"
"413895000","1287800","3275"
"414974000","1287800","3275"
"416053000","1287800","3275"
"417131000","1287800","3275"
"418215000","1287800","3275"
"419550000","1297800","3275"
"420627000","1297800","3275"
"421707000","1297800","3275"
"422784000","1297800","3275"
"423863000","1297800","3275"
"425196000","1297800","3275"
"426274000","1297800","3275"
"427356000","1297800","3275"
"428441000","1297800","3275"
"429520000","1297800","3275"
"430796000","1297800","3275"
"431932000","1287700","3275"
"433010000","1287700","3275"
"434089000","1287700","3275"
"435168000","1287700","3275"
"436501000","1287700","3275"
"437580000","1287700","3275"
"438664000","1287700","3275"
"439742000","1287700","3275"
"440821000","1287700","3275"
"442155000","1287700","3275"
"443233000","1287700","3275"
"444312000","1297300","3275"
"445390000","1297300","3275"
"446469000","1297300","3275"
"447803000","1297300","3276"
"448887000","1297300","3276"
"449966000","1297300","3276"
"451044000","1297300","3276"
"452123000","1297300","3276"
"453458000","1297300","3276"
"454536000","1574100","3276"
"455614000","1574100","3276"
"456692000","1574100","3276"
"457771000","1574100","3276"
"459109000","1574100","3276"
"460189000","1574100","3276"
"461268000","1574100","3276"
"462347000","1574100","3276"
"463424000","1574100","3276"
"464701000","1537600","3276"
"465837000","1537600","3276"
"466915000","1537600","3276"
"467999000","1537600","3276"
"469082000","1537600","3276"
"470415000","1537600","3276"
"471494000","1537600","3276"
"472572000","1537600","3276"
"473650000","1537600","3276"
"474728000","1616900","3276"
"476063000","1616900","3276"
"477141000","1616900","3276"
"478226000","1616900","3276"
"479305000","1616900","3276"
"480383000","1616900","3276"
"481717000","1616900","3276"
"482796000","1616900","3276"
"483874000","1616900","3276"
"484953000","1607900","3276"
"486031000","1607900","3276"
"487365000","1607900","3276"
"488450000","1607900","3276"
"489529000","1607900","3276"
"490607000","1607900","3276"
"491686000","1607900","3277"
"493020000","1607900","3277"
"494099000","1607900","3276"
"495177000","1607900","3276"
"496256000","1453200","3276"
"497334000","1453200","3276"
"498674000","1453200","3276"
"499752000","1453200","3276"
"500830000","1453200","3276"
"501907000","1453200","3276"
"502987000","1453200","3276"
"504320000","1453200","3276"
"505399000","1453200","3275"
"506477000","1453200","3275"
"507555000","1412500","3275"
"508639000","1412500","3275"
"509973000","1412500","3275"
"511055000","1412500","3275"
"512134000","1412500","3275"
"513212000","1412500","3275"
"514291000","1412500","3275"
"515624000","1412500","3275"
"516703000","1412500","3275"
"517781000","1653300","3275"
"518865000","1653300","3275"
"519942000","1653300","3275"
"521276000","1653300","3275"
"522354000","1653300","3275"
"523432000","1653300","3274"
"524510000","1653300","3275"
"525588000","1653300","3275"
"526922000","1711600","3275"
"528007000","1711600","3275"
"529084000","1711600","3275"
"530163000","1711600","3275"
"531242000","1711600","3275"
"532576000","1711600","3275"
"533653000","1711600","3275"
"534732000","1711600","3275"
"535810000","1711600","3275"
"536889000","1711600","3275"
"538227000","1422100","3275"
"539305000","1422100","3275"
"540384000","1422100","3275"
"541462000","1422100","3275"
"542540000","1422100","3275"
"543874000","1422100","3275"
"544953000","1422100","3275"
"546032000","1422100","3275"
"547110000","1422100","3275"
"548194000","1422100","3275"
"549527000","1422100","3275"
"550605000","1422100","3275"
"551683000","1422100","3275"
"552767000","1094300","3275"
"553845000","1094300","3275"
"555179000","1094300","3275"
"556256000","1094300","3275"
"557335000","1094300","3275"
"558419000","1094300","3275"
"559497000","1094300","3275"
"560830000","1094300","3275"
"561909000","1094300","3275"
"562987000","1094300","3275"
"564066000","1094300","3275"
"565143000","1094300","3275"
"566477000","1237700","3275"
"567556000","1237700","3275"
"568640000","1237700","3275"
"569717000","1237700","3275"
"570796000","1237700","3275"
"572130000","1237700","3275"
"573209000","1237700","3275"
"574287000","1237700","3275"
"575366000","1851900","3275"
"576444000","1851900","3275"
"577778000","1851900","3275"
"578861000","1851900","3275"
"579940000","1851900","3275"
"581019000","1851900","3275"
"582097000","1851900","3275"
"583431000","1851900","3275"
"584510000","1850700","3275"
"585588000","1850700","3275"
"586667000","1850700","3275"
"587746000","1850700","3275"
"589086000","1850700","3275"
"590165000","1850700","3275"
"591244000","1850700","3275"
"592322000","1850700","3275"
"593401000","1850700","3275"
"594739000","1493800","3275"
"595818000","1493800","3275"
"596897000","1493800","3275"
"597981000","1493800","3275"
